File: torb
Type: cpu
Time: Sep 15, 2018 at 8:48am (UTC)
Duration: 1mins, Total samples = 69.66s (115.71%)
Showing nodes accounting for 57.20s, 82.11% of 69.66s total
Dropped 686 nodes (cum <= 0.35s)
      flat  flat%   sum%        cum   cum%
     7.21s 10.35% 10.35%     13.47s 19.34%  runtime.scanobject
     3.53s  5.07% 15.42%      3.95s  5.67%  runtime.findObject
     3.33s  4.78% 20.20%     13.60s 19.52%  runtime.mallocgc
     2.62s  3.76% 23.96%      2.62s  3.76%  runtime.memmove
     1.84s  2.64% 26.60%      3.40s  4.88%  runtime.mapaccess1_faststr
     1.83s  2.63% 29.23%      1.90s  2.73%  syscall.Syscall
     1.74s  2.50% 31.73%     10.35s 14.86%  database/sql.convertAssign
     1.67s  2.40% 34.12%      2.09s  3.00%  runtime.heapBitsSetType
     1.54s  2.21% 36.33%      1.55s  2.23%  time.nextStdChunk
     1.52s  2.18% 38.52%      2.77s  3.98%  runtime.greyobject
     1.29s  1.85% 40.37%      1.29s  1.85%  runtime.memclrNoHeapPointers
     1.23s  1.77% 42.13%      1.23s  1.77%  runtime.markBits.isMarked (inline)
     1.17s  1.68% 43.81%      3.18s  4.57%  time.parse
     1.15s  1.65% 45.46%     12.46s 17.89%  github.com/go-sql-driver/mysql.(*textRows).readRow
     1.07s  1.54% 47.00%      1.07s  1.54%  memeqbody
     1.07s  1.54% 48.54%      1.07s  1.54%  runtime.nextFreeFast (inline)
     0.92s  1.32% 49.86%     10.89s 15.63%  main.getEvents
     0.81s  1.16% 51.02%      2.78s  3.99%  runtime.wbBufFlush1
     0.75s  1.08% 52.10%      2.85s  4.09%  runtime.gcWriteBarrier
     0.71s  1.02% 53.12%      3.04s  4.36%  time.Time.AppendFormat
     0.68s  0.98% 54.09%      0.96s  1.38%  runtime.mapaccess2_fast64
     0.65s  0.93% 55.02%      1.62s  2.33%  reflect.(*rtype).Name
     0.63s   0.9% 55.93%      1.44s  2.07%  runtime.deferreturn
     0.62s  0.89% 56.82%      0.62s  0.89%  github.com/go-sql-driver/mysql.readLengthEncodedInteger
     0.60s  0.86% 57.68%      1.12s  1.61%  runtime.gcmarknewobject
     0.57s  0.82% 58.50%      4.98s  7.15%  runtime.convT2Eslice
     0.55s  0.79% 59.29%      1.03s  1.48%  strconv.ParseInt
     0.51s  0.73% 60.02%      0.75s  1.08%  time.appendInt
     0.50s  0.72% 60.74%      0.50s  0.72%  runtime.releasem (inline)
     0.49s   0.7% 61.44%      1.55s  2.23%  runtime.bulkBarrierPreWrite
     0.49s   0.7% 62.14%      0.50s  0.72%  sync.(*Mutex).Unlock
     0.48s  0.69% 62.83%      0.48s  0.69%  reflect.Value.Type
     0.48s  0.69% 63.52%      0.48s  0.69%  strconv.ParseUint
     0.48s  0.69% 64.21%      0.65s  0.93%  sync.(*Mutex).Lock
     0.45s  0.65% 64.86%      1.07s  1.54%  github.com/go-sql-driver/mysql.readLengthEncodedString
     0.43s  0.62% 65.48%      2.30s  3.30%  runtime.slicebytetostring
     0.42s   0.6% 66.08%      0.42s   0.6%  runtime.arenaIndex (inline)
     0.39s  0.56% 66.64%     10.90s 15.65%  database/sql.(*Rows).Scan
     0.39s  0.56% 67.20%      0.39s  0.56%  main.renderReportCSV.func1
     0.39s  0.56% 67.76%      0.39s  0.56%  runtime.aeshash64
     0.39s  0.56% 68.32%      0.39s  0.56%  runtime.duffcopy
     0.38s  0.55% 68.86%      0.98s  1.41%  reflect.(*rtype).String
     0.38s  0.55% 69.41%      0.54s  0.78%  runtime.spanOf (inline)
     0.37s  0.53% 69.94%      2.33s  3.34%  runtime.typedmemmove
     0.35s   0.5% 70.44%      3.26s  4.68%  fmt.(*pp).doPrintf
     0.35s   0.5% 70.94%      1.78s  2.56%  sort.doPivot_func
     0.35s   0.5% 71.45%      0.35s   0.5%  sync.(*RWMutex).RLock
     0.33s  0.47% 71.92%      0.66s  0.95%  fmt.(*fmt).fmtInteger
     0.32s  0.46% 72.38%      0.37s  0.53%  reflect.Value.Elem
     0.30s  0.43% 72.81%      0.68s  0.98%  reflect.Indirect
     0.28s   0.4% 73.21%      2.46s  3.53%  fmt.(*pp).printArg
     0.27s  0.39% 73.60%      0.52s  0.75%  runtime.freedefer
     0.27s  0.39% 73.99%     11.37s 16.32%  runtime.gcDrain
     0.26s  0.37% 74.36%      0.42s   0.6%  runtime.heapBitsForAddr (inline)
     0.25s  0.36% 74.72%      1.07s  1.54%  runtime.deferproc
     0.24s  0.34% 75.06%     33.29s 47.79%  main.main.func20
     0.24s  0.34% 75.41%      1.90s  2.73%  reflect.directlyAssignable
